,Model,Scenario,Region,Variable,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
5818,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Inflation rate ; %(physical),Abs. difference,0.0,0.0209465622901916,0.0460312962532043,0.0519074201583862,0.06287282705307,0.0673646926879882,0.0730399489402771,0.0786455273628234,0.0815564095973968,0.0849976539611816,0.0887935161590576,0.0945036113262176,0.1010614037513733,0.1084451973438263,0.1155989766120911,0.1218283772468567,0.1228441596031189,0.1225446462631226,0.1202781498432159,0.1174640655517578,0.1153582334518433,0.1138733625411987,0.1134735345840454,0.1186603903770447,0.1277687549591064,0.1371816992759705,0.1428850889205933,0.1430509686470032,0.1374014019966125
5819,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Inflation rate ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0737808644771575,-0.0132190585136413,-0.0050374567508697,0.0202327966690063,0.0570344030857086,0.0796580016613006,0.0930110216140747,0.1138440370559692,0.1362460851669312,0.1573846042156219,0.1528888344764709,0.1414629220962524,0.1396239995956421,0.1371802091598511,0.1335990428924561,0.1110055446624756,0.0886927247047424,0.0766189694404602,0.0645587444305419,0.0522845983505249
5820,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term interest rate ; %(combined(no bus)),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0445325374603271,-0.0165355801582336,0.0187948942184448,0.0595836639404296,0.1024937033653259,0.1452152132987976,0.186173141002655,0.2244583368301392,0.2584649324417114,0.2866384387016296,0.3085840344429016,0.3264421224594116,0.3401052355766296,0.3496290445327759,0.355248749256134,0.357857346534729,0.3594818115234375,0.3601238131523132,0.3600994944572449,0.3599091172218323
5821,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term interest rate ; %(combined),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415028810501099,-0.1919634938240051,-0.095321238040924,0.0081185102462768,0.0868916511535644,0.1462956070899963,0.1962875723838806,0.2412490844726562,0.2798472046852112,0.3099175095558167,0.3316043019294739,0.3484145402908325,0.3609229922294617,0.3692702651023865,0.3735862970352173,0.3747442960739136,0.3748858571052551,0.3741806745529175,0.3731301426887512,0.3723816275596619
5822,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term interest rate ; %(physical),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5823,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term interest rate ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0445325374603271,-0.0165355801582336,0.0187948942184448,0.0595836639404296,0.1024937033653259,0.1452152132987976,0.186173141002655,0.2244583368301392,0.2584649324417114,0.2866384387016296,0.3085840344429016,0.3264421224594116,0.3401052355766296,0.3496290445327759,0.355248749256134,0.357857346534729,0.3594818115234375,0.3601238131523132,0.3600994944572449,0.3599091172218323
5824,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term real interest rate ; %(combined(no bus)),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732770264148712,0.0960396528244018,0.1224882304668427,0.1505521833896637,0.1789114475250244,0.2063065469264984,0.2315889298915863,0.2546562552452087,0.2749857604503632,0.2922979295253754,0.3065923154354095,0.3177581429481506,0.326493501663208,0.3329738080501556,0.3376035988330841,0.340767115354538,0.3426461815834045,0.343903511762619,0.3447879254817963,0.345771849155426
5825,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term real interest rate ; %(combined),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0263982415199279,0.0122429728507995,0.0652931630611419,0.1198197603225708,0.1663515269756317,0.2051127851009369,0.2376395761966705,0.2655579745769501,0.2890625298023224,0.3081325888633728,0.323109358549118,0.3343384563922882,0.3428160548210144,0.3488757312297821,0.3529809415340424,0.3555463850498199,0.3568110764026642,0.3574979901313782,0.3579248189926147,0.3587018549442291
5826,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term real interest rate ; %(physical),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5827,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Long term real interest rate ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732770264148712,0.0960396528244018,0.1224882304668427,0.1505521833896637,0.1789114475250244,0.2063065469264984,0.2315889298915863,0.2546562552452087,0.2749857604503632,0.2922979295253754,0.3065923154354095,0.3177581429481506,0.326493501663208,0.3329738080501556,0.3376035988330841,0.340767115354538,0.3426461815834045,0.343903511762619,0.3447879254817963,0.345771849155426
